epi_week,adm2,lineage,count
69,BIRMINGHAM,B.1.1.7,65
69,BLACKPOOL,B.1.1.7,1
69,BOLTON,B.1.1.7,21
69,BRIGHTON_AND_HOVE,B.1.1.7,0
69,BRISTOL,B.1.1.7,15
69,BUCKINGHAMSHIRE,B.1.1.7,56
69,BURY,B.1.1.7,7
69,CAMBRIDGESHIRE,B.1.1.7,82
69,CARDIFF,B.1.1.7,21
69,CARMARTHENSHIRE,B.1.1.7,3
69,CHESHIRE_EAST,B.1.1.7,9
69,CONWY,B.1.1.7,2
69,CUMBRIA,B.1.1.7,13
69,DERBYSHIRE,B.1.1.7,77
69,EAST_LOTHIAN,B.1.1.7,4
69,EAST_RENFREWSHIRE,B.1.1.7,14
69,EAST_RIDING_OF_YORKSHIRE,B.1.1.7,106
69,EAST_SUSSEX,B.1.1.7,8
69,EDINBURGH,B.1.1.7,87
69,ESSEX,B.1.1.7,55
69,GLASGOW,B.1.1.7,168
69,GLOUCESTERSHIRE,B.1.1.7,17
69,GREATER_LONDON,B.1.1.7,465
69,GWYNEDD,B.1.1.7,10
69,HAMPSHIRE,B.1.1.7,40
69,HERTFORDSHIRE,B.1.1.7,60
69,INVERCLYDE,B.1.1.7,9
69,ISLE_OF_WIGHT,B.1.1.7,0
69,KENT,B.1.1.7,52
69,KIRKLEES,B.1.1.7,38
69,LANCASHIRE,B.1.1.7,151
69,LEEDS,B.1.1.7,148
69,LEICESTERSHIRE,B.1.1.7,146
69,LINCOLNSHIRE,B.1.1.7,143
69,MIDDLESBROUGH,B.1.1.7,8
69,MILTON_KEYNES,B.1.1.7,10
69,NORFOLK,B.1.1.7,51
69,NORTHAMPTONSHIRE,B.1.1.7,116
69,NORTH_TYNESIDE,B.1.1.7,11
69,NORTH_YORKSHIRE,B.1.1.7,135
69,NOTTINGHAM,B.1.1.7,0
69,NOTTINGHAMSHIRE,B.1.1.7,108
69,OXFORDSHIRE,B.1.1.7,38
69,PEMBROKESHIRE,B.1.1.7,2
69,SANDWELL,B.1.1.7,11
69,SHEFFIELD,B.1.1.7,92
69,SOUTH_TYNESIDE,B.1.1.7,7
69,STAFFORDSHIRE,B.1.1.7,98
69,SURREY,B.1.1.7,46
69,SWINDON,B.1.1.7,2
69,WEST_MIDLANDS,B.1.1.7,16
69,WILTSHIRE,B.1.1.7,13
69,WOKINGHAM,B.1.1.7,0
69,ABERDEENSHIRE,B.1.617.2,1
69,ARMAGH_BANBRIDGE_AND_CRAIGAVON,B.1.617.2,2
69,BEDFORDSHIRE,B.1.617.2,9
69,BELFAST,B.1.617.2,6
69,BIRMINGHAM,B.1.617.2,2
69,BLACKPOOL,B.1.617.2,1
69,BOLTON,B.1.617.2,4
69,BRIGHTON_AND_HOVE,B.1.617.2,1
69,BRISTOL,B.1.617.2,2
69,BUCKINGHAMSHIRE,B.1.617.2,6
69,BURY,B.1.617.2,2
69,CAMBRIDGESHIRE,B.1.617.2,12
69,CARDIFF,B.1.617.2,1
69,CARMARTHENSHIRE,B.1.617.2,1
69,CHESHIRE_EAST,B.1.617.2,4
69,CONWY,B.1.617.2,1
