time,date,datetime,mean_B117,median_B117,upper_B117,lower_B117,mean_B1177,median_B1177,upper_B1177,lower_B1177,mean_other,median_other,upper_other,lower_other
2020.780889,2020-10-11,2020-10-11T00:35:12,0.23119376,0.224248197,1.29792146,0.039597218,18.39106324,17.72726911,57.24421731,6.572180484,48.48828625,46.51132222,121.5204052,20.19508422
2020.772469,2020-10-07,2020-10-07T22:49:50,0.158301131,0.154487996,0.983600812,0.023238429,17.03735701,16.39613632,55.16965499,5.829484839,40.97601726,40.56564515,107.0554214,17.1198957
2020.76405,2020-10-04,2020-10-04T21:04:29,0.11268959,0.112056165,1.015648586,0.015308779,15.04785722,14.57266453,51.96850286,4.557731386,33.80612847,34.04037792,101.5571807,14.40985457
2020.75563,2020-10-01,2020-10-01T19:19:07,0.086266059,0.085566509,0.973375019,0.007809342,12.61968628,12.32854606,47.69761756,3.545071779,28.25483911,28.5227538,74.65959694,9.017960972
2020.74721,2020-09-28,2020-09-28T17:33:46,0.064551669,0.066388816,1.037344993,0.005914232,9.86183264,9.76332014,38.49944543,2.383355686,24.11582616,24.21944526,76.63792774,7.878606007
2020.738791,2020-09-25,2020-09-25T15:48:24,0.048051403,0.051047632,0.676290382,0.00226915,7.425379339,7.319021616,29.48331671,1.678639214,22.50323846,22.32431577,64.44965616,7.552670795
2020.730371,2020-09-22,2020-09-22T14:03:03,0.038700297,0.042330503,0.780048339,0.001829062,5.583786815,5.415563087,26.61450309,1.385004425,21.96785036,20.66618396,73.3671062,8.269167704
2020.721951,2020-09-19,2020-09-19T12:17:41,0.031416963,0.03570641,0.573205585,0.001002626,4.295427279,4.080817487,20.02983468,1.09781717,23.09362093,21.26815527,64.68486489,8.146116731
2020.713532,2020-09-16,2020-09-16T10:32:19,0.026526648,0.03013594,0.594346768,6.70E-04,3.568029296,3.351305824,16.74666722,0.987940558,23.90299315,22.1721941,69.49153372,9.592014867
2020.705112,2020-09-13,2020-09-13T08:46:58,0.022827382,0.02641337,0.709660542,4.07E-04,3.030008625,2.849323385,12.38422382,0.831387619,24.78207487,22.71763378,73.800237,9.167243939
2020.696693,2020-09-10,2020-09-10T07:01:36,0.02011526,0.023737592,0.650934964,2.46E-04,2.514930714,2.37006015,10.77547721,0.661086153,24.20837646,21.95711703,88.34788094,8.730113653
2020.688273,2020-09-07,2020-09-07T05:16:15,0.01849193,0.023259089,0.812868765,1.56E-04,1.9184744,1.814770601,8.896945373,0.518105849,22.30494312,20.18533287,72.94825605,9.214084587
2020.679853,2020-09-04,2020-09-04T03:30:53,0.017432305,0.021754168,0.968749655,1.00E-04,1.326052572,1.276991895,5.630956177,0.335127472,19.09587464,17.6872399,49.54100955,8.358130389
2020.671434,2020-09-01,2020-09-01T01:45:31,0.017001653,0.020663933,1.852084349,1.12E-04,0.788360766,0.782763116,2.977606818,0.207348516,14.34443451,13.6820293,30.90200496,7.67873887
2020.663014,2020-08-29,2020-08-29T00:00:10,0.016201725,0.019569485,3.102711644,7.22E-05,0.379116909,0.3956916,0.977829781,0.132683484,9.339880332,9.4700575,12.47121205,6.602216707
2020.663014,2020-08-29,2020-08-29T00:00:10,0.016201725,0.019569485,3.102711644,7.22E-05,0.379116909,0.3956916,0.977829781,0.132683484,9.339880332,9.4700575,12.47121205,6.602216707
2020.654594,2020-08-25,2020-08-25T22:14:48,0.016201725,0.019569485,3.102711644,7.22E-05,0.379116909,0.3956916,0.977829781,0.132683484,9.339880332,9.4700575,12.47121205,6.602216707
